Vague;Frame_Index;Temps_Total(ms);FPS_Instantane
10;12;89;72;97;75;77;84;77;73;97;75
10;11;98;70;103;73;72;85;77;69;84;104
10;12;68;71;98;79;88;79;81;85;72;73
10;12;74;86;87;72;73;74;100;61;80;66
10;13;65;85;76;77;71;76;89;72;74;74
10;12;82;82;77;72;76;73;82;75;81;66
10;13;70;64;98;67;74;70;71;65;75;64
10;13;65;71;61;63;81;67;91;64;93;57
10;13;91;60;72;70;76;67;69;69;62;91
10;15;69;58;64;61;59;59;58;71;61;55
10;15;74;54;69;53;55;59;74;55;52;59
10;16;61;59;60;68;67;64;66;58;53;55
10;16;52;59;58;51;60;57;61;63;58;59
10;16;61;53;54;60;57;57;60;65;53;69
10;16;54;55;62;64;65;55;57;59;63;56
10;17;62;62;52;50;53;52;67;58;51;51
10;17;45;48;52;52;68;47;55;55;61;66
10;17;55;50;58;52;53;54;66;61;58;54
10;18;64;57;59;49;59;56;57;52;56;54
10;17;73;51;53;52;55;59;59;51;49;62
10;18;51;46;44;52;57;50;66;58;59;51
10;18;53;49;57;58;51;51;48;48;52;52
10;20;46;52;46;48;48;48;47;47;48;49
10;20;48;47;53;47;49;51;46;47;49;55
10;19;50;52;56;44;43;44;46;49;52;51
10;20;49;51;48;52;45;47;50;51;54;47
10;20;45;44;48;49;48;50;55;45;48;51
10;20;48;48;50;48;45;44;46;45;48;50
10;20;45;45;45;54;43;44;56;47;49;52
10;21;49;48;47;49;50;48;45;44;46;46
10;21;44;44;46;45;49;51;48;46;46;48
10;20;44;45;45;46;45;45;47;48;48;49
11;18;48;45;44;46;52;48;52;52;123;84
11;10;87;96;88;97;93;86;93;88;95;93
11;10;97;105;87;108;96;113;89;91;96;98
11;10;95;87;94;106;88;94;97;111;98;99
11;10;87;102;89;104;84;113;88;89;84;114
11;10;91;92;99;98;83;112;97;85;102;98
11;10;103;105;94;89;79;102;93;90;95;104
11;9;75;100;96;99;138;122;96;123;77;91
11;10;96;87;85;122;90;108;85;76;107;75
11;10;95;100;95;86;91;84;99;87;89;95
11;11;78;89;83;92;91;100;74;93;82;73
11;11;77;70;99;72;87;92;98;70;86;72
11;12;66;92;71;74;99;81;68;106;68;70
11;12;79;81;90;85;77;77;85;83;85;81
11;13;76;73;73;75;74;71;77;73;81;81
11;13;70;73;75;89;63;68;75;73;67;87
11;14;72;76;62;57;63;64;69;71;75;72
11;14;60;67;72;70;74;72;63;66;73;55
11;15;59;63;71;77;56;62;67;74;59;64
11;15;62;76;59;61;68;49;52;68;69;47
11;16;51;62;71;69;51;55;57;53;50;66
11;16;60;57;59;59;56;59;69;71;62;64
11;15;68;64;67;66;68;70;75;61;57;60
11;16;57;56;54;63;61;65;64;61;56;60
11;17;59;57;57;60;62;51;57;54;58;59
